UtilityKey,Company,UltimatePa,TotalRetai,TotalRet01,TotalRet02,AvgRevPerU,AvgUltCust,AvgResiden,AvgCommeri,AvgIndustr,UtilitySta,layer,path
4061985,Oak City Town of UT,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061064,Levan Town Corp,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059903,Ephraim City of,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063132,Spring City Corporation,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059964,Fairview City Corp,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061643,Mt Pleasant City of UT,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062742,"City of Salem, Utah",,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063115,"City of Spanish Fork, Utah",,26574,14468,292066,1836.74,9.1,10.05,9.33,6.77,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063144,Springville City of,,29057,11992,293179,2423.03,9.91,11.2,10.15,7.94,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060475,Helper City of,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062415,Price Municipal Corporation,,0,0,0,0,0,0,0,0,UT,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059991,"City of Farmington, New Mexico",,90542,45153,961467,2005.23,9.42,11.61,10.12,6.51,NM,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058589,Aztec City of,,0,0,0,0,0,0,0,0,NM,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059091,Center City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059605,"City of Delta, Colorado",,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058536,"City of Aspen, Colorado",,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060368,Gunnison City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060244,Glenwood Springs City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059232,Goldsmith City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058898,Brownsville Public Utilities Board,,169592,53485,1298971,3170.83,13.06,13,13.11,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059989,"City of Farmersville, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062646,"City of Robstown, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058570,Austin Energy,,1442172,533427,14286216,2703.6,10.09,11.85,10.4,6.86,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059325,College Station City of,,116641,44577,939517,2616.62,12.41,13.3,11.31,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062763,City Public Service of San Antonio,,2779131,918463,24639071,3025.85,11.28,12.22,10.54,9.29,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4064148,Yoakum City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060042,"City of Floresville, Texas",,47636,17361,385838,2743.85,12.35,12.17,12.71,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058800,Boerne City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062785,"City of San Marcos, Texas",,62033,25492,661809,2433.43,9.37,10.17,8.85,8.31,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060561,Hondo City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
